Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,"Hello! I'd be more than happy to set up a 15 minute call to learn more about your resume needs. In addition to resume services, I provide comprehensive LinkedIn reviews and content guidance as part of most resume projects and can certainly add LinkedIn content development as well.    Happy to take a look at your resume to see what might be holding up hits on it. Formatting can definitely impact a resume.    I offer 3 types of Resume Projects:  1. Resume Refresh ($475) - taking your old resume to the next level  2. Complete Resume ($875) - showcase your professional achievements & market yourself effectively  3. Premier Resume ($1,375) - power your job search with a Complete Resume + a Job-Targeted Resume, Executive Summary, & 90 minute Job Search Consultation    Process:  + 15 minute discovery call  + You complete two worksheets to (re)discover who you are professionally  + 60 minute content review call (not included with the Resume Refresh Project)  + I create your Master Resume (and other materials based on project and enhancements selected)  + Master Resume Review call (length of time and scope of call depend on project selected)    I have reviewed over 60,000 resumes, worked with 100s of companies and hiring managers, and create winning resumes that clearly demonstrate your value. Plus, your new resume will be Applicant Tracking System (ATS) compatible.    Looking forward to the opportunity to serve you.  ~Ben~",,,,true
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,"Hi! I develop resumes, cover letters and LinkedIn profiles for professionals who are seeking new career opportunities in tech, med, sales, marketing and PR fields.    As a trained Certified Professional Resume Writer (CPRW) and Career Coach, I deliver valuable insights that capture the unique story of your career - documents that grab the attention of employers!      Today, most resumes never reach the hands of a real person and the ones that do are viewed in as little as 7 seconds to determine if you’re the right fit or not. With more and more companies relying on Applicant Tracking Systems (ATS) to scan for keywords, the responsibility is on you to ensure your resume is correctly targeted.     This is where the skills of myself and team come into play. We can help you get your foot in the door and in front of hiring managers with documents that are visually appealing, keyword optimized, and a true testament of your personal brand. I help early career, mid-career, executives, and transitioning military professionals land interviews across hundreds of industries and professions.     Why not save yourself the time and frustration? Hire a professional resume writer and avoid the top mistakes I see 99% of people make when it comes to resume writing.    Visit www.theresumefix.com to view pricing, package options and testimonials. Or to get started, simply reply to this message to request a free consultation.     **FREE RESUME CRITIQUES are available**    Sincerely,    Lena Jackson  The Resume Fix",,,,true
Mon Jul 13 15:22:15 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
