Action,Date,Ad Title/Id,Page/App
Impression,2025/08/18,834185436,DISH Network
Impression,2025/08/19,644903944,247sports.com
Impression,2025/08/19,672510324,247sports.com
Impression,2025/08/19,814302386,247sports.com
Impression,2025/08/23,745095053,DISH Network
Impression,2025/08/24,834185496,DISH Network
Impression,2025/08/25,834185496,DISH Network
Impression,2025/08/27,834185496,DISH Network
Impression,2025/08/28,672542134,weather.com
Impression,2025/08/28,672561894,yahoo.com
Impression,2025/08/28,672667754,weather.com
Impression,2025/08/28,708259953,DISH Network
Impression,2025/08/28,733311974,yahoo.com
Impression,2025/08/29,672439524,webmd.com
Impression,2025/08/29,733258854,webmd.com
Impression,2025/09/01,830717296,DISH Network
Impression,2025/09/01,834185496,DISH Network
Impression,2025/09/09,853590196,DISH Network
Impression,2025/09/11,742704714,rollingstone.com
Impression,2025/09/14,834185496,Samsung TV Plus FREE
Impression,2025/09/18,641075494,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/09/22,880004366,yahoo.com
Impression,2025/09/23,742744544,britannica.com
Impression,2025/09/23,815448633,britannica.com
Impression,2025/09/27,220724854,Opera Mini: Fast Web Browser
Impression,2025/09/27,815487993,Opera Mini: Fast Web Browser
Impression,2025/09/27,877805586,Opera Mini: Fast Web Browser
Impression,2025/09/29,603255803,Opera Mini: Fast Web Browser
Impression,2025/09/29,617908946,Opera Mini: Fast Web Browser
Impression,2025/09/29,617970826,Opera Mini: Fast Web Browser
Impression,2025/09/29,758769014,Opera Mini: Fast Web Browser
Impression,2025/09/29,815247843,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/09/29,838822746,Opera Mini: Fast Web Browser
Impression,2025/09/29,854519193,Opera Mini: Fast Web Browser
Impression,2025/09/29,885602786,Opera Mini: Fast Web Browser
Impression,2025/09/29,889339106,Opera Mini: Fast Web Browser
Impression,2025/09/30,316390904,Opera Mini: Fast Web Browser
Impression,2025/09/30,602000464,Opera Mini: Fast Web Browser
Impression,2025/09/30,617908946,Opera Mini: Fast Web Browser
Impression,2025/09/30,690998334,Opera Mini: Fast Web Browser
Impression,2025/09/30,699191814,Opera Mini: Fast Web Browser
Impression,2025/09/30,731795636,Opera Mini: Fast Web Browser
Impression,2025/09/30,742369644,Opera Mini: Fast Web Browser
Impression,2025/09/30,864257046,Opera Mini: Fast Web Browser
Impression,2025/09/30,877921916,Opera Mini: Fast Web Browser
Impression,2025/09/30,879879256,Opera Mini: Fast Web Browser
Impression,2025/09/30,883918846,Opera Mini: Fast Web Browser
Impression,2025/10/01,696720813,Opera Mini: Fast Web Browser
Impression,2025/10/01,742704454,Opera Mini: Fast Web Browser
Impression,2025/10/01,742744544,Opera Mini: Fast Web Browser
Impression,2025/10/01,758769024,Opera Mini: Fast Web Browser
Impression,2025/10/09,742704454,steelersdepot.com
Impression,2025/10/09,742704714,steelersdepot.com
Impression,2025/10/09,742744544,steelersdepot.com
Impression,2025/10/09,826321264,247sports.com
Impression,2025/10/09,826350734,247sports.com
Impression,2025/10/09,826395104,247sports.com
Impression,2025/10/09,880004366,si.com
Impression,2025/10/09,880013566,si.com
Impression,2025/10/09,884717376,247sports.com
Impression,2025/10/09,899769386,si.com
Impression,2025/10/13,859869823,cbsnews.com
Impression,2025/10/13,898346436,247sports.com
Impression,2025/10/16,849510014,byrdie.com
Impression,2025/10/16,880013566,byrdie.com
Impression,2025/10/26,905864256,realsimple.com
Impression,2025/10/26,930294696,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/10/27,930294696,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/10/29,742744544,people.com
Impression,2025/10/31,849429364,yahoo.com
Impression,2025/11/11,737455414,WatchFree+
Impression,2025/11/11,841633063,WatchFree+
Impression,2025/11/11,857853323,WatchFree+
Impression,2025/11/11,906324574,WatchFree+
Impression,2025/11/11,930294696,WatchFree+
Impression,2025/11/11,945890206,WatchFree+
Impression,2025/11/15,885602786,finance.yahoo.com
Impression,2025/11/17,927193976,profootballnetwork.com
Impression,2025/11/18,885602786,yahoo.com
Impression,2025/11/18,905864256,yahoo.com
Impression,2025/11/29,965810856,newsweek.com
Impression,2025/11/29,966811886,newsweek.com
Impression,2025/11/29,967211626,247sports.com
Impression,2025/12/04,925127333,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/12/05,973720916,nypost.com
Impression,2025/12/12,316430074,yahoo.com
Impression,2025/12/12,826414964,yahoo.com
Impression,2025/12/12,913315534,yahoo.com
Impression,2025/12/12,913414214,yahoo.com
Impression,2025/12/12,952747386,yahoo.com
Impression,2025/12/12,975565786,yahoo.com
Impression,2025/12/20,925127343,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/12/20,932224043,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2025/12/30,1012736586,247sports.com
Impression,2026/01/02,882298913,247sports.com
Impression,2026/01/10,1104587113,N/A:ARqeoeTpUR4HWl7F9l7sH6ieZSm-
Impression,2026/01/11,834185496,Tubi Inc Free Movies
Impression,2026/01/11,963122146,Tubi Inc Free Movies
Impression,2026/02/09,1132994514,yahoo.com
Impression,2026/02/09,1135789524,yahoo.com
Impression,2026/02/09,1137094844,yahoo.com
Impression,2026/02/09,954245946,yahoo.com
Impression,2026/02/09,978131506,yahoo.com
Impression,2026/02/09,991404666,yahoo.com
